Open,High,Low,P/E Ratio,Google Trends,Price Change
1082.949951171875,1088.699951171875,1070.0999755859375,8.781083,74,-0.25
1079.050048828125,1142.0,1066.0,8.781083,28,4.38
1113.949951171875,1115.0,1097.449951171875,8.781083,56,-0.92
1105.0,1105.0,1087.3499755859375,8.781083,17,-1.68
1097.5999755859375,1100.0,1082.199951171875,8.781083,1,-0.69
1079.0,1085.0,1072.0999755859375,8.781083,77,-0.43
1081.0,1085.8499755859375,1066.949951171875,8.781083,69,-1.05
1068.800048828125,1072.949951171875,1040.5,8.781083,34,-1.85
1049.3499755859375,1049.949951171875,1026.25,8.781083,53,-1.01
1049.0,1049.0,1032.199951171875,8.781083,83,-0.28
1000.0,1011.5499877929688,971.25,8.781083,4,-5.74
976.2999877929688,988.0,958.0,8.781083,10,1.01
994.9000244140624,1006.0,988.0,8.781083,27,0.6
997.0,999.9000244140624,984.5,8.781083,51,-0.37
995.0,995.0,960.0,8.781083,80,-1.36
978.2000122070312,983.7000122070312,957.1500244140624,8.781083,18,-1.32
970.4000244140624,978.9500122070312,956.3499755859376,8.781083,17,0.51
967.0,977.5,949.2000122070312,8.781083,45,0.4
973.5,979.2000122070312,966.0499877929688,8.781083,90,0.1
974.0,985.0,972.5999755859376,8.781083,89,0.57
982.4000244140624,982.5,959.25,8.781083,95,-1.4
970.7999877929688,994.9500122070312,965.5999755859376,8.781083,63,3.07
996.0,1000.4000244140624,989.1500244140624,8.781083,53,-0.02
993.0,996.9500122070312,971.7999877929688,8.781083,75,-1.85
976.9000244140624,984.5,958.9000244140624,8.781083,96,-0.97
939.0,950.1500244140624,925.0,8.781083,97,-4.09
930.0,949.2000122070312,920.0,8.781083,37,0.55
942.0,944.4500122070312,915.0,8.781083,20,-0.31
916.0,924.7999877929688,893.8499755859375,8.781083,61,-0.87
926.7999877929688,948.4500122070312,925.5,8.781083,1,2.1
933.75,943.5999755859376,912.3499755859376,8.781083,27,-1.13
932.0,937.0,928.5,8.781083,19,0.24
930.0,940.0,925.3499755859376,8.781083,55,-0.26
932.9500122070312,935.3499755859376,913.0,8.781083,58,-1.18
917.0499877929688,923.0,900.0,8.781083,77,-1.07
914.9500122070312,914.9500122070312,890.0499877929688,8.781083,98,-1.75
894.2999877929688,917.7000122070312,886.7999877929688,8.781083,84,2.08
912.0499877929688,917.6500244140624,898.0999755859375,8.781083,59,-0.75
905.0,906.0999755859376,875.25,8.781083,94,-2.63
879.0,885.5999755859375,863.2999877929688,8.781083,44,-0.21
875.25,890.0,875.25,8.781083,27,0.27
883.9000244140625,885.75,857.2999877929688,8.781083,52,-1.78
867.8499755859375,886.75,860.2000122070312,8.781083,31,1.64
880.25,882.5,825.7000122070312,8.781083,73,-4.06
846.0,853.5999755859375,838.0499877929688,8.781083,23,-0.3
843.8499755859375,843.8499755859375,831.8499755859375,8.781083,30,-0.73
847.9500122070312,847.9500122070312,840.0,8.781083,15,1.13
840.0,844.4500122070312,814.5,8.781083,61,-2.29
821.5,843.5999755859375,820.4000244140625,8.781083,64,1.4
843.9000244140625,843.9000244140625,826.0,8.781083,39,0.48
841.0,842.75,817.2999877929688,8.781083,73,-2.38
821.9500122070312,822.0,801.0999755859375,8.781083,6,-1.74
801.0,831.4500122070312,792.0,8.781083,92,-0.09
806.0,813.0999755859375,783.0499877929688,8.781083,50,-2.47
787.0,792.6500244140625,775.5499877929688,8.781083,53,0.18
786.5999755859375,792.0,772.0,8.781083,19,-1.52
778.0,781.75,759.2000122070312,8.781083,33,-0.31
771.9000244140625,799.9000244140625,771.9000244140625,8.781083,10,1.46
784.9500122070312,785.9500122070312,766.25,8.781083,29,-1.19
775.0,794.0,775.0,8.781083,76,17.149999999999977
